"","longitude","latitude","Bio_1_2006_2016_average","Bio_5_2006_2016_average","Bio_6_2006_2016_average","Bio_11_2006_2016_average","Bio_13_2006_2016_average","Hyde_Year_2005"
"1934",-63.395973,46.496967,5.99545478820801,24.2727279663086,-12.6636362075806,-6.02121210098267,145.963638305664,0.231595672633744
"5059",-74.216065,44.932691,5.87992429733276,25.3545455932617,-15.7181816101074,-7.61363649368286,158.036361694336,0.134008618542305
"6191",-84.473582,46.627202,4.08181810379028,24.0181827545166,-17.8454551696777,-9.38484859466553,157.618179321289,0.0781456388762012
"7321",-97.229,49.870892,2.7651515007019,26.3636360168457,-23.8636360168457,-14.6469697952271,122.15454864502,0.824152898522192
"3605",-72.504755,43.622272,5.71856069564819,26.0363636016846,-15.6818189620972,-7.01818180084229,170.227279663086,0.147901336393893
"1967",-75.691099,45.538083,4.97234869003296,25.745454788208,-18.5636367797852,-9.81060600280762,147.818176269531,0.11103674858104
"6086",-122.166667,64.966667,-5.87575769424438,20.3999996185303,-32.518180847168,-24.7333335876465,54.9090919494629,0
"8903",-153.26667,57.46667,3.93371224403381,15.6454544067383,-8.55454540252686,-1.968181848526,234,0.00050356943004826
"2187",-122.090777,37.553228,14.5598487854004,22.8909091949463,6.32727289199829,10.7939395904541,206.727279663086,0.101806872389517
"8328",-116.238427,51.590106,-3.08143949508667,14.6363639831543,-20.4272727966309,-12.4848489761353,153.300003051758,0
"3750",-78.248354,44.339644,6.79545450210571,26.0454540252686,-13.2636365890503,-5.813636302948,117.136367797852,0.465149351129171
"7323",-87.79539,41.882258,10.1715908050537,28.8999996185303,-9.20909118652344,-2.50909090042114,151.436370849609,0.167845507664889
"4880",-119.012222,38.212222,6.41856050491333,27.9545459747314,-10.2181816101074,-1.16515159606934,240.518188476562,0.208098472406786
"295",-74.445998,40.943158,11.9208335876465,30.0363636016846,-5.54545450210571,0.684848487377167,187.436370849609,0.0211944610363322
"3878",-80,43.866667,7.27575778961182,26.736364364624,-11.9636363983154,-5.15303039550781,106.700004577637,0.54369793339092
"2167",-74.097568,39.797481,12.4534091949463,29.8636360168457,-4.58181810379028,1.95757579803467,181.890914916992,0.142138885103184
"8480",-155.79189,58.55469,1.23636364936829,16.6272735595703,-15.8272724151611,-8.27575778961182,117.972732543945,0.00143867259316454
"737",-127.407645,59.746217,-1.12348484992981,21.2727279663086,-26.7000007629395,-17.3484859466553,88.363639831543,0.00376804290622116
"9823",-108.100428,35.200751,9.19318199157715,29.763635635376,-10.7272729873657,-0.325757563114166,84,0.61372899710473
"1192",-82.660247,39.467227,11.3988637924194,29.3999996185303,-7.02727270126343,0.310606062412262,164.481826782227,0.230666143627837
"10265",-86.655556,36.296667,15.214394569397,32.0818176269531,-1.87272727489471,4.77272748947144,204.400009155273,0.684962730978536
"3364",-105.037073,40.000212,7.60606098175049,28.9454555511475,-10.9727277755737,-2.12121224403381,85.2454528808594,0.658087541584
"6422",-115.12,50.97,-2.41515159606934,16.1272735595703,-19.8545455932617,-11.8242425918579,120.018180847168,0.00358389916574324
"5552",-87.605659,37.996422,14.024242401123,32.2727279663086,-4.30909109115601,2.44545459747314,193.309097290039,0.898158619345511
"6450",-121.78465,53.842983,2.64242434501648,20.5727272033691,-15.8363637924194,-7.80303049087524,147.06364440918,0.0156965421483979
"353",-82.55232,35.540567,10.5223484039307,26.254545211792,-5.42727279663086,1.61818182468414,201.418182373047,0.0935688740434645
"8290",-110.561886,44.467725,2.87348484992981,25.009090423584,-14.3181819915771,-7.03939390182495,89.7909088134766,0.0700657332628697
"7960",-81.504924,41.249769,9.94128799438477,28.4272727966309,-8.33636379241943,-1.78333342075348,140.690902709961,0.391409084513251
"2478",-89.50908,43.089211,7.61060619354248,27.736364364624,-13.7636365890503,-6.05454540252686,163.899993896484,0.417201873120259
"3153",-147.502390633793,64.8395838643952,-2.18143939971924,22.5090923309326,-28.3727283477783,-19.8090915679932,71.2909088134766,0.020981638554235
"6240",-106.304365,39.853127,0.419696927070618,22.9272727966309,-18.9636363983154,-9.49393939971924,76.5545501708984,0.299642062939007
"9059",-117.119408,49.60141,2.57613635063171,20.3636360168457,-10.618182182312,-6.27575778961182,211.072723388672,0.00159824206745224
"254",-113.961595,46.916442,6.06666660308838,27.990909576416,-10.6090908050537,-3.85303044319153,65.7818222045898,0.335006114189626
"7865",-75.335548,37.905883,14.5875005722046,30.6636371612549,-1.37272727489471,5.00606060028076,202.62727355957,0.0421201256850499
"2415",-89.371947,43.160076,7.76363658905029,27.7909088134766,-13.36363697052,-5.80303049087524,160.281814575195,0.581008602698806
"7519",-83.874368,42.33465,9.95795440673828,28.9727268218994,-8.74545478820801,-2.39848494529724,128.354553222656,0.41893097471519
"13",-122.827863,49.257822,9.95568180084229,23.5545463562012,-0.772727310657501,3.43030309677124,416.427276611328,0.206510341404648
"3129",-105.206677,38.548518,4.27689409255981,25.1363639831543,-14.5090913772583,-4.97424221038818,84.8090896606445,0.543537822942942
"5468",-91.380913,47.205778,4.13712120056152,24.745454788208,-18.3363647460938,-9.53787899017334,137.62727355957,0.0151806177125215
"8472",-155.790947,58.554048,1.23636364936829,16.6272735595703,-15.8272724151611,-8.27575778961182,117.972732543945,0.00143867259316454
"3817",-122.456129,37.792684,14.5598487854004,22.8909091949463,6.32727289199829,10.7939395904541,206.727279663086,0.101806872389517
"2270",-73.738434,40.742395,12.5901517868042,29.3000011444092,-3.563636302948,1.83636367321014,165.790908813477,0.0102885303042673
"2361",-80.566006,35.412417,16.207576751709,32.2545471191406,-0.236363619565964,6.60303020477295,171.809097290039,0.329358752003447
"1478",-119.557761,37.743172,10.4022731781006,30.8272724151611,-5.57272720336914,2.66666674613953,354.263641357422,0.0939224436655409
"9234",-73.668908,43.875318,6.51060628890991,26.3363647460938,-14.7363634109497,-6.30454540252686,152.881820678711,0.138112670016003
"2139",-75.661975,45.447819,6.21704530715942,26.4363632202148,-16.0727272033691,-8.29848480224609,127.863639831543,0.404754674874097
"4757",-68.511177,44.816769,6.34356069564819,26.2181816101074,-13.7000007629395,-6.00909090042114,148.199996948242,0.0187166201793947
"7817",-72.518299,42.395794,9.3378791809082,29.0454559326172,-10.3181819915771,-2.70909094810486,183.327270507812,0.0447426434118955
"4978",-71.633333,46.533333,3.59621214866638,23.8090915679932,-19.4090919494629,-11.024242401123,186.12727355957,0.173101280434641
"2725",-116.202314,43.615019,9.72196960449219,31.6636371612549,-6.40909099578857,-0.451515167951584,102.400001525879,0.496522607494023
"8257",-93.95,58.76,-6.05492448806763,18.5363636016846,-31.3000011444092,-23.957576751709,98.8727264404297,0
"6408",-121.61018,40.3397,11.5026512145996,31.1909084320068,-3.218181848526,3.86666679382324,461.80908203125,0.235445646542094
"2072",-72.527213,42.327532,9.3378791809082,29.0454559326172,-10.3181819915771,-2.70909094810486,183.327270507812,0.0447426434118955
"2386",-72.461378,44.340862,5.30340909957886,25.6000003814697,-16.7818183898926,-7.68939399719238,165.418182373047,0.0938589125224753
"1371",-106.570435,36.855551,6.33181810379028,28.2000007629395,-15.1090908050537,-4.02272748947144,99.0999984741211,0.43925461439827
"7719",-80.207643,40.526869,10.091667175293,28.5727272033691,-7.75454568862915,-1.15454542636871,141.681823730469,0.204809528757348
"5593",-87.83617,41.833365,10.1715908050537,28.8999996185303,-9.20909118652344,-2.50909090042114,151.436370849609,0.167845507664889
"8937",-84.728135,36.351776,13.5212125778198,30.5727272033691,-3.32727265357971,3.57727265357971,206.245452880859,0.21493183712907
"180",-65.910266,47.189751,4.46856069564819,25.3181819915771,-17.7090911865234,-9.26060581207275,149.209091186523,0.0381315110510551
"3562",-122.455155,37.795047,14.5598487854004,22.8909091949463,6.32727289199829,10.7939395904541,206.727279663086,0.101806872389517
"1613",-107.820853,55.415844,0.409848511219025,23.3999996185303,-26.0727272033691,-16.4787883758545,99.2909088134766,0.0318856519174238
"1826",-73.340285,44.71798,7.27803039550781,27.22727394104,-14.6454544067383,-6.28636360168457,150.336364746094,0.170892746673783
"6058",-97.410731,37.719456,14.1791667938232,34.4090919494629,-6.24545478820801,1.88181829452515,178.327270507812,0.818048838527303
"627",-122.957356,50.11632,2.57613635063171,17.9636363983154,-9.6363639831543,-4.68787860870361,223.518188476562,0.0248023101797632
"5114",-71.915399,44.911934,4.29886388778687,23.3363647460938,-16.5,-8.60606098175049,186.172729492188,0.073345079769152
"2825",-123.022145,48.46107,9.88143920898438,23.1363639831543,0.118181809782982,3.98939394950867,437.654541015625,0.0514741250277346
"1428",-104.977733,36.269132,10.0090913772583,29.7636375427246,-9.627272605896,0.195454552769661,99.0545501708984,0.765554598085583
"5896",-85.1493,42.2458,9.79242420196533,28.9454555511475,-8.85454559326172,-2.45000004768372,147.027282714844,0.374212246823033
"4458",-114.789008,36.040583,18.1518936157227,38.9545478820801,0.0909090861678123,7.7939395904541,48.3272743225098,0.116838960243096
"5800",-144.595833,65.147,-5.78106069564819,17.5727272033691,-29.3272724151611,-21.3484859466553,65.2818222045898,0
"2004",-77.346647,37.658004,14.3352279663086,31.6454544067383,-2.82727265357971,4.06666660308838,194.100006103516,0.312441496252365
"6875",-83.917921,35.947593,14.0143938064575,30.7090911865234,-2.73636364936829,4.23939418792725,187.31819152832,0.237885775162904
"1007",-120.240673,39.432378,7.28636360168457,28.2727279663086,-8.42727279663086,-0.196969717741013,326.5,0.0413472747322523
"5182",-73.903734,42.705271,9.11136341094971,29.1727275848389,-11.2090911865234,-3.531818151474,156.199996948242,0.144150832632664
"7172",-89.439719,43.126664,7.76363658905029,27.7909088134766,-13.36363697052,-5.80303049087524,160.281814575195,0.581008602698806
"8604",-110.230824,44.922827,2.55946969985962,24.1272735595703,-14.4363641738892,-7.02121210098267,78.8181838989258,0.0859578306819423
"10141",-121.405524,49.015415,4.52613639831543,20.5363636016846,-8.22727298736572,-3.40000009536743,226.609100341797,0.0437705392037723
"8228",-103.59615,41.986533,9.08371257781982,32.3545455932617,-11.127272605896,-2.08787870407104,90.2909088134766,0.989236872372018
"226",-80.355051,37.752577,11.4878787994385,28.9363651275635,-5.81818199157715,1.18787884712219,159.109100341797,0.252971774005681
"3110",-78.19835,45.52567,4.01931810379028,25.1181812286377,-19.8090915679932,-10.372727394104,124.736366271973,0.00501415661982825
"5861",-91.917332,47.618099,3.26780295372009,24.1727275848389,-20.2727279663086,-10.9803037643433,143.19091796875,0.0408045775416735
"1911",-72.461163,44.341,5.30340909957886,25.6000003814697,-16.7818183898926,-7.68939399719238,165.418182373047,0.0938589125224753
"1889",-81.745961,48.330479,2.18901515007019,24.9090919494629,-23.7727279663086,-13.7939395904541,120.600006103516,0.00238696837409833
"7371",-96.4034,39.19444,12.7439393997192,33.018180847168,-8.25454616546631,0.0909090787172318,180.290908813477,0.980311005793946
"4753",-70.755833,46.794722,3.85492420196533,23.8636360168457,-18.1545467376709,-10.4651517868042,165.363632202148,0.210554285288089
"4503",-122.540721,38.098906,14.4537878036499,26.9363632202148,4.00909090042114,9.54090881347656,397.936370849609,0.358246584597437
"8260",-115.101469968422,67.8334521588489,-9.92992401123047,15.1727275848389,-33.3909072875977,-27.2939395904541,52.2909088134766,0
"4828",-120.617299,37.183905,16.2617435455322,33,2.70909094810486,8.75,103.90909576416,0.674829034886948
"2354",-89.48993,43.027859,7.76363658905029,27.7909088134766,-13.36363697052,-5.80303049087524,160.281814575195,0.581008602698806
"5425",-90.561768,38.52671,13.2541666030884,32.0272750854492,-6.39090919494629,1.11060607433319,178.69091796875,0.626716761295838
"9384",-74.420722,40.476921,12.2511367797852,29.7181816101074,-4.73636388778687,1.44242429733276,180.345458984375,0.137831655336609
"8671",-155.791626,58.555001,1.23636364936829,16.6272735595703,-15.8272724151611,-8.27575778961182,117.972732543945,0.00143867259316454
"8269",-129.9615,54.773983,4.29924249649048,16.6181831359863,-7.53636360168457,-2.21363639831543,305.036376953125,0.0223584425132744
"9675",-83.302524,38.038689,12.689772605896,30.1545448303223,-5.33636379241943,1.98030304908752,189.945465087891,0.220725452804871
"2649",-68.805099,48.34024,2.91931819915771,23.0636367797852,-18.6636371612549,-11.2818183898926,140.645462036133,0.14645137302242
"1316",-123.160751,49.694785,5.76363658905029,20.1181812286377,-5.32727289199829,-1.04393935203552,426.254547119141,0.0631177950884292
"9982",-119.259266,38.053071,6.41856050491333,27.9545459747314,-10.2181816101074,-1.16515159606934,240.518188476562,0.208098472406786
"6983",-75.540377,35.234841,16.7704544067383,31.2090911865234,1.36363637447357,8.14848518371582,199.727279663086,0.00472517709797101
"1865",-75.667815,45.412429,6.21704530715942,26.4363632202148,-16.0727272033691,-8.29848480224609,127.863639831543,0.404754674874097
"4826",-70.49393,41.7549,11.0821971893311,28.3363647460938,-6.11818170547485,0.309090912342072,214.754547119141,0.0706936614108837
"1138",-105.022,36.424,5.57916688919067,25.5090923309326,-13.9363641738892,-3.58484840393066,119.327270507812,0.276927319675082
"8548",-150.93,59.828999999181,1.41325759887695,14.3090906143188,-13.0909090042114,-6.13939380645752,111.381820678711,0.00245609820515114
"7219",-122.148442,47.585937,11.6662883758545,24.6727275848389,1.88181817531586,5.81666660308838,184.12727355957,0.0713797302173594
"8705",-158.99,60.4839999991919,-1.03522729873657,16.9636363983154,-20.509090423584,-13.0090913772583,99.4545440673828,0.016256131071074
"3737",-121.979527,37.888122,14.1454544067383,28.0272731781006,2.60909104347229,8.1803035736084,224.290908813477,0.420135003141706
"7393",-105.174934,40.06084,7.60606098175049,28.9454555511475,-10.9727277755737,-2.12121224403381,85.2454528808594,0.658087541584
"358",-120.269442,38.240697,10.752272605896,31.0545463562012,-4.41818189620972,3.22575759887695,387.5,0.073115548002373
"6045",-93.19763,44.769272,7.70757579803467,28.4363632202148,-15.1818180084229,-7.20757579803467,154.527267456055,0.482276931638194
"8413",-150.493441,63.590202,-3.22045469284058,18.2000007629395,-25.3272724151611,-17.1000003814697,102.918182373047,0
"9069",-72.54564,43.613045,5.71856069564819,26.0363636016846,-15.6818189620972,-7.01818180084229,170.227279663086,0.147901336393893
"6037",-90.561768,38.52671,13.2541666030884,32.0272750854492,-6.39090919494629,1.11060607433319,178.69091796875,0.626716761295838
"6096",-123,65.116667,-5.95000028610229,20.0181827545166,-32.3545455932617,-24.6909103393555,56.1363639831543,0
"6388",-120.405167,49.716833,2.98939394950867,20.6000003814697,-11.0909090042114,-6.08333349227905,97.5090942382812,0.00347466125722426
"6056",-90.561768,38.52671,13.2541666030884,32.0272750854492,-6.39090919494629,1.11060607433319,178.69091796875,0.626716761295838
"186",-83.421124,35.576555,12.8261365890503,29.3181819915771,-3.80000019073486,3.34393954277039,189.972732543945,0.166293365613073
"9567",-73.065004,42.924063,7.96666669845581,27.9363632202148,-12.2636365890503,-4.40000009536743,183.454544067383,0.0897821064143031
"6704",-149.09083,66.00638,-3.64583325386047,21.8181819915771,-29.0636367797852,-21.0484848022461,71.0999984741211,0.000180241226950695
"8717",-159.164361,58.536556,1.09659087657928,16.8909091949463,-16.2727279663086,-9.31666660308838,101.563636779785,0.000811379638292281
"5020",-70.3895,46.822333,3.31174254417419,23.3454551696777,-18.6909103393555,-10.8106060028076,160.454544067383,0.0538334520589817
"577",-110.647355,43.904417,2.76098489761353,25.1818180084229,-14.490909576416,-7.33484840393066,86.0090942382812,0.190420167016637
"9775",-72.616342,42.265684,9.3378791809082,29.0454559326172,-10.3181819915771,-2.70909094810486,183.327270507812,0.0447426434118955
"948",-130.32012,54.31614,6.81515169143677,16.5909099578857,-3.36363649368286,1.53636360168457,405.618194580078,0.0715811495122602
"2173",-74.091063,39.828436,12.4534091949463,29.8636360168457,-4.58181810379028,1.95757579803467,181.890914916992,0.142138885103184
"934",-72.573667,43.628333,5.71856069564819,26.0363636016846,-15.6818189620972,-7.01818180084229,170.227279663086,0.147901336393893
"3670",-122.249614,37.903726,14.5598487854004,22.8909091949463,6.32727289199829,10.7939395904541,206.727279663086,0.101806872389517
"469",-110.432768,44.919024,2.55946969985962,24.1272735595703,-14.4363641738892,-7.02121210098267,78.8181838989258,0.0859578306819423
"5163",-73.878361,42.712955,9.11136341094971,29.1727275848389,-11.2090911865234,-3.531818151474,156.199996948242,0.144150832632664
"9089",-73.140822,44.156764,7.58977270126343,27.7818183898926,-13.8454542160034,-5.6575756072998,143.018188476562,0.174621159303408
"4599",-119.574974,37.727668,10.4022731781006,30.8272724151611,-5.57272720336914,2.66666674613953,354.263641357422,0.0939224436655409
"2489",-88.267932,40.116011,11.2439393997192,29.8909091949463,-8.20909118652344,-1.39393937587738,178.827270507812,0.792100484990764
"7512",-81.649504,41.182416,9.94128799438477,28.4272727966309,-8.33636379241943,-1.78333342075348,140.690902709961,0.391409084513251
"7465",-81.675488,40.99702,10.1696968078613,28.3181819915771,-7.84545469284058,-1.36060607433319,144.909088134766,0.510792511362956
"3596",-104.77747,39.710216,9.23257637023926,30.6727275848389,-9.72727298736572,-0.821212112903595,81.9272766113281,0.571225925439369
"7788",-83.890303,40.297871,10.0106058120728,29.0181827545166,-9.10909080505371,-1.99090909957886,151.154541015625,0.845729018558174
"8397",-149.568489,63.704459,-3.77083349227905,17.6727275848389,-26.0272731781006,-17.731819152832,100.609092712402,0
"2056",-123.299391,42.924784,10.8890151977539,28.9090919494629,-1.218181848526,4.08181810379028,255.245468139648,0.0395433676549941
"338",-120.998206,39.109357,11.3030300140381,31.6000003814697,-3.40000009536743,3.93181824684143,483.227264404297,0.0437325621043658
